Mitad_semana,Filas_unicas,
2015-00,0.0,0.0
2015-00.5,2.0,698.1
2015-01,1.0,5310.588235294118
2015-01.5,2.0,580.75
2015-02,0.0,954.5
2015-02.5,0.0,0.0
2015-03,0.0,0.0
2015-03.5,1.0,0.0
2015-04,0.0,1794.1315789473683
2015-04.5,2.0,3400.4166666666665
2015-05,1.0,1225.7924528301887
2015-05.5,1.0,1330.0645161290322
2015-06,2.0,71.0
2015-06.5,0.0,0.0
2015-07,0.0,0.0
2015-07.5,2.0,0.0
2015-08,0.0,3096.318181818182
2015-08.5,0.0,385.2631578947368
2015-09,0.0,1017.7333333333332
2015-09.5,1.0,722.9615384615385
2015-10,1.0,0.0
2015-10.5,0.0,0.0
2015-11,1.0,0.0
2015-11.5,0.0,3142.0
2015-12,3.0,1291.2608695652175
2015-12.5,1.0,305.90909090909093
2015-13,0.0,1319.590909090909
2015-13.5,1.0,2112.5
2015-14,0.0,0.0
2015-14.5,0.0,0.0
2015-15,2.0,0.0
2015-15.5,1.0,343.3333333333333
2015-16,0.0,2554.2272727272725
2015-16.5,1.0,1105.3846153846157
2015-17,0.0,776.7307692307693
2015-17.5,2.0,295.3333333333333
2015-18,1.0,0.0
2015-18.5,2.0,0.0
2015-19,4.0,0.0
2015-19.5,0.0,1151.0588235294117
2015-20,0.0,1061.3103448275865
2015-20.5,0.0,0.0
2015-21,0.0,1088.9411764705883
2015-21.5,1.0,0.0
2015-22,1.0,0.0
2015-22.5,2.0,0.0
2015-23,2.0,411.5
2015-23.5,1.0,160.5
2015-24,1.0,0.0
2015-24.5,0.0,0.0
2015-25,0.0,210.75
2015-25.5,0.0,0.0
2015-26,2.0,0.0
2015-26.5,1.0,0.0
2015-27,0.0,0.0
2015-27.5,1.0,2292.75
2015-28,1.0,1400.8333333333333
2015-28.5,1.0,0.0
2015-29,0.0,0.0
2015-29.5,1.0,0.0
2015-30,1.0,0.0
2015-30.5,1.0,0.0
2015-31,1.0,0.0
2015-31.5,0.0,237.3333333333333
2015-32,0.0,0.0
2015-32.5,0.0,872.0
2015-33,1.0,516.1666666666666
2015-33.5,0.0,0.0
2015-34,0.0,0.0
2015-34.5,0.0,0.0
2015-35,0.0,0.0
2015-35.5,1.0,0.0
2015-36,0.0,270.0
2015-36.5,1.0,1458.125
2015-37,1.0,1243.3333333333333
2015-37.5,0.0,0.0
2015-38,2.0,0.0
2015-38.5,0.0,0.0
2015-39,0.0,602.3333333333334
2015-39.5,0.0,632.0
2015-40,0.0,221.5
2015-40.5,0.0,524.0526315789474
2015-41,3.0,0.0
2015-41.5,1.0,0.0
2015-42,2.0,0.0
2015-42.5,2.0,0.0
2015-43,0.0,408.6666666666667
2015-43.5,2.0,0.0
2015-44,0.0,479.0
2015-44.5,2.0,2422.7
2015-45,1.0,0.0
2015-45.5,1.0,0.0
2015-46,0.0,0.0
2015-46.5,2.0,0.0
2015-47,2.0,608.4117647058823
2015-47.5,0.0,0.0
2015-48,0.0,510.7142857142857
2015-48.5,3.0,632.1333333333333
2015-49,1.0,0.0
2015-49.5,1.0,0.0
2015-50,3.0,0.0
2015-50.5,0.0,217.8571428571429
2015-51,4.0,1486.1764705882354
2015-51.5,0.0,393.2
2015-52,0.0,388.4705882352941
2015-52.5,0.0,662.0
