Semana,Filas_unicas,
2021-00,0.0,0.0
2021-01,0.0,0.0
2021-02,0.0,313.4
2021-03,2.0,0.0
2021-04,0.0,0.0
2021-05,0.0,0.0
2021-06,0.0,0.0
2021-07,1.0,0.0
2021-08,0.0,0.0
2021-09,0.0,0.0
2021-10,1.0,0.0
2021-11,1.0,0.0
2021-12,0.0,0.0
2021-13,0.0,0.0
2021-14,0.0,0.0
2021-15,0.0,0.0
2021-16,1.0,0.0
2021-17,0.0,0.0
2021-18,1.0,0.0
2021-19,0.0,804.8333333333334
2021-20,1.0,278.25
2021-21,0.0,0.0
2021-22,0.0,0.0
2021-23,0.0,0.0
2021-24,1.0,929.5714285714286
2021-25,1.0,264.4
2021-26,1.0,0.0
2021-27,1.0,0.0
2021-28,2.0,518.25
2021-29,6.0,168.83333333333334
2021-30,0.0,0.0
2021-31,0.0,0.0
2021-32,1.0,0.0
2021-33,0.0,0.0
2021-34,1.0,0.0
2021-35,0.0,0.0
2021-36,1.0,0.0
2021-37,0.0,442.44444444444446
2021-38,2.0,671.2
2021-39,0.0,256.57142857142856
2021-40,2.0,0.0
2021-41,0.0,307.0
2021-42,2.0,473.1333333333333
2021-43,2.0,625.2941176470588
2021-44,2.0,305.6
2021-45,0.0,0.0
2021-46,2.0,0.0
2021-47,0.0,0.0
2021-48,1.0,0.0
2021-49,0.0,840.0
2021-50,2.0,406.3125
2021-51,3.0,258.0
2021-52,0.0,470.3333333333333
