Mitad_semana,Filas_unicas,strength,date
2012-01,2.0,2012-01.5,689.5384615384615
2012-01.5,0.0,2012-02.5,753.7142857142857
2012-02,0.0,2012-03,53.0
2012-02.5,0.0,2012-03.5,408.3333333333333
2012-03,5.0,2012-04,739.078947368421
2012-03.5,0.0,2012-04.5,1121.3333333333333
2012-04,1.0,2012-06.5,584.7142857142857
2012-04.5,1.0,2012-08,328.5625
2012-05,0.0,2012-08.5,375.75
2012-05.5,0.0,2012-13.5,478.04545454545456
2012-06,0.0,2012-15,360.6
2012-06.5,0.0,2012-18.5,589.625
2012-07,3.0,2012-19,472.75
2012-07.5,0.0,2012-21.5,294.22222222222223
2012-08,0.0,2012-22.5,1757.9583333333333
2012-08.5,2.0,2012-25,171.0
2012-09,0.0,2012-25.5,203.0
2012-09.5,0.0,2012-26,545.4545454545455
2012-10,1.0,2012-26.5,145.0
2012-10.5,1.0,2012-27,368.84615384615387
2012-11,1.0,2012-27.5,606.8823529411765
2012-11.5,1.0,2012-29,497.5
2012-12,1.0,2012-29.5,483.3636363636364
2012-12.5,2.0,2012-30,999.6976744186046
2012-13,1.0,2012-30.5,336.0
2012-13.5,0.0,2012-31,2271.08
2012-14,0.0,2012-31.5,183.0
2012-14.5,0.0,2012-32,721.0
2012-15,1.0,2012-34,783.3478260869565
2012-15.5,0.0,2012-35.5,474.0
2012-16,4.0,2012-36,235.42105263157896
2012-16.5,0.0,2012-37.5,429.94444444444446
2012-17,2.0,2012-38,903.3333333333334
2012-17.5,0.0,2012-39,792.6206896551724
2012-18,2.0,2012-39.5,260.0
2012-18.5,2.0,2012-41,469.7894736842105
2012-19,3.0,2012-41.5,765.0588235294117
2012-19.5,2.0,2012-42,1636.5416666666667
2012-20,3.0,2012-45,629.6
2012-20.5,1.0,2012-45.5,381.125
2012-21,0.0,2012-46,238.5
2012-21.5,1.0,2012-46.5,334.6666666666667
2012-22,0.0,2012-50.5,482.09090909090907
2012-22.5,3.0,2012-51,392.6666666666667
2012-23,0.0,2012-52,296.5
2012-23.5,0.0,2012-53,385.8
2012-24,3.0,2013-00,516.7272727272727
2012-24.5,0.0,,
2012-25,0.0,,
2012-25.5,0.0,,
2012-26,1.0,,
2012-26.5,1.0,,
2012-27,0.0,,
2012-27.5,3.0,,
2012-28,0.0,,
2012-28.5,0.0,,
2012-29,0.0,,
2012-29.5,1.0,,
2012-30,4.0,,
2012-30.5,1.0,,
2012-31,3.0,,
2012-31.5,2.0,,
2012-32,3.0,,
2012-32.5,0.0,,
2012-33,0.0,,
2012-33.5,1.0,,
2012-34,2.0,,
2012-34.5,0.0,,
2012-35,4.0,,
2012-35.5,2.0,,
2012-36,2.0,,
2012-36.5,0.0,,
2012-37,1.0,,
2012-37.5,0.0,,
2012-38,2.0,,
2012-38.5,2.0,,
2012-39,2.0,,
2012-39.5,1.0,,
2012-40,1.0,,
2012-40.5,0.0,,
2012-41,2.0,,
2012-41.5,2.0,,
2012-42,3.0,,
2012-42.5,1.0,,
2012-43,3.0,,
2012-43.5,0.0,,
2012-44,1.0,,
2012-44.5,0.0,,
2012-45,2.0,,
2012-45.5,2.0,,
2012-46,2.0,,
2012-46.5,1.0,,
2012-47,0.0,,
2012-47.5,0.0,,
2012-48,3.0,,
2012-48.5,0.0,,
2012-49,0.0,,
2012-49.5,1.0,,
2012-50,0.0,,
2012-50.5,0.0,,
2012-51,3.0,,
2012-51.5,0.0,,
2012-52,0.0,,
2012-52.5,2.0,,
2012-53,0.0,,
2012-53.5,0.0,,
