Semana,Filas_unicas,
2015-00,2.0,698.1
2015-01,3.0,3797.04
2015-02,0.0,2294.114285714286
2015-03,1.0,1360.5735294117646
2015-04,2.0,2092.509433962264
2015-05,2.0,1249.964705882353
2015-06,2.0,1444.7142857142858
2015-07,2.0,1276.3283582089553
2015-08,0.0,1839.9756097560976
2015-09,1.0,880.875
2015-10,1.0,1115.8823529411766
2015-11,1.0,1518.7906976744189
2015-12,4.0,972.470588235294
2015-13,1.0,1697.1666666666667
2015-14,0.0,1584.6296296296296
2015-15,3.0,2609.529411764706
2015-16,1.0,2016.0857142857144
2015-17,2.0,612.8157894736842
2015-18,3.0,3619.15625
2015-19,4.0,1326.862745098039
2015-20,0.0,1061.3103448275865
2015-21,1.0,747.0344827586207
2015-22,3.0,1604.9333333333334
2015-23,3.0,290.7647058823529
2015-24,1.0,0.0
2015-25,0.0,1644.1052631578948
2015-26,3.0,2178.125
2015-27,1.0,1265.4615384615386
2015-28,2.0,1400.8333333333333
2015-29,1.0,1456.9473684210527
2015-30,2.0,892.8918918918919
2015-31,1.0,317.2307692307692
2015-32,0.0,872.0
2015-33,1.0,819.2692307692307
2015-34,0.0,507.3921568627451
2015-35,1.0,463.5
2015-36,1.0,1001.1538461538462
2015-37,1.0,619.2682926829268
2015-38,2.0,0.0
2015-39,0.0,620.875
2015-40,0.0,406.9354838709677
2015-41,4.0,1435.4666666666667
2015-42,4.0,331.85714285714283
2015-43,2.0,408.6666666666667
2015-44,2.0,1214.8275862068965
2015-45,2.0,738.8478260869565
2015-46,2.0,935.8
2015-47,2.0,608.4117647058823
2015-48,3.0,561.3055555555555
2015-49,2.0,487.9142857142857
2015-50,3.0,1200.821428571429
2015-51,4.0,1237.7727272727273
2015-52,0.0,429.5
