strength,date,Unnamed: 2,filename
505,2018-14,2018-13,AR_LIST_2018.04.04_12:00:00.txt
250,2018-14,2018-13.5,AR_LIST_2018.04.05_00:00:00.txt
319,2018-14,2018-13.5,AR_LIST_2018.04.05_12:00:00.txt
136,2018-14,2018-13.5,AR_LIST_2018.04.06_00:00:00.txt
156,2018-14,2018-13.5,AR_LIST_2018.04.06_12:00:00.txt
30,2018-14,2018-13.5,AR_LIST_2018.04.07_00:00:00.txt
118,2018-14,2018-13.5,AR_LIST_2018.04.07_12:00:00.txt
7,2018-14,2018-14,AR_LIST_2018.04.08_00:00:00.txt
19,2018-14,2018-14,AR_LIST_2018.04.08_12:00:00.txt
429,2018-27,2018-25.5,AR_LIST_2018.06.28_00:00:00.txt
387,2018-26.5,2018-25.5,AR_LIST_2018.06.28_12:00:00.txt
590,2018-27,2018-25.5,AR_LIST_2018.06.29_00:00:00.txt
559,2018-26.5,2018-25.5,AR_LIST_2018.06.29_12:00:00.txt
699,2018-27,2018-25.5,AR_LIST_2018.06.30_00:00:00.txt
677,2018-26.5,2018-25.5,AR_LIST_2018.06.30_12:00:00.txt
764,2018-27,2018-26,AR_LIST_2018.07.01_00:00:00.txt
956,2018-26.5,2018-26,AR_LIST_2018.07.01_12:00:00.txt
905,2018-27,2018-26,AR_LIST_2018.07.02_00:00:00.txt
852,2018-26.5,2018-26,AR_LIST_2018.07.02_12:00:00.txt
767,2018-27,2018-26,AR_LIST_2018.07.03_00:00:00.txt
821,2018-26.5,2018-26,AR_LIST_2018.07.03_12:00:00.txt
759,2018-27,2018-26,AR_LIST_2018.07.04_00:00:00.txt
769,2018-26.5,2018-26,AR_LIST_2018.07.04_12:00:00.txt
596,2018-27,2018-26.5,AR_LIST_2018.07.05_00:00:00.txt
538,2018-26.5,2018-26.5,AR_LIST_2018.07.05_12:00:00.txt
377,2018-27,2018-26.5,AR_LIST_2018.07.06_00:00:00.txt
346,2018-26.5,2018-26.5,AR_LIST_2018.07.06_12:00:00.txt
225,2018-27,2018-26.5,AR_LIST_2018.07.07_00:00:00.txt
289,2018-26.5,2018-26.5,AR_LIST_2018.07.07_12:00:00.txt
87,2018-27,2018-27,AR_LIST_2018.07.08_00:00:00.txt
615,2018-46,2018-45,AR_LIST_2018.11.14_00:00:00.txt
481,2018-47,2018-45,AR_LIST_2018.11.14_00:00:00.txt
415,2018-47,2018-45,AR_LIST_2018.11.14_00:00:00.txt
254,2018-46,2018-45,AR_LIST_2018.11.14_12:00:00.txt
14,2018-47,2018-45,AR_LIST_2018.11.14_12:00:00.txt
-97,2018-48.5,2018-45,AR_LIST_2018.11.14_12:00:00.txt
767,2018-46,2018-45.5,AR_LIST_2018.11.15_00:00:00.txt
500,2018-47,2018-45.5,AR_LIST_2018.11.15_00:00:00.txt
541,2018-46,2018-45.5,AR_LIST_2018.11.16_00:00:00.txt
485,2018-47,2018-45.5,AR_LIST_2018.11.16_00:00:00.txt
21,2018-46.5,2018-45.5,AR_LIST_2018.11.16_12:00:00.txt
-3,2018-47.5,2018-45.5,AR_LIST_2018.11.16_12:00:00.txt
507,2018-46,2018-45.5,AR_LIST_2018.11.17_00:00:00.txt
558,2018-47,2018-45.5,AR_LIST_2018.11.17_00:00:00.txt
29,2018-46.5,2018-45.5,AR_LIST_2018.11.17_12:00:00.txt
-69,2018-48,2018-45.5,AR_LIST_2018.11.17_12:00:00.txt
423,2018-46,2018-46,AR_LIST_2018.11.18_00:00:00.txt
603,2018-47,2018-46,AR_LIST_2018.11.18_00:00:00.txt
52,2018-46.5,2018-46,AR_LIST_2018.11.18_12:00:00.txt
-63,2018-48,2018-46,AR_LIST_2018.11.18_12:00:00.txt
34,2018-46,2018-46,AR_LIST_2018.11.19_00:00:00.txt
61,2018-47,2018-46,AR_LIST_2018.11.19_00:00:00.txt
